Name,Name_link
"Submissions for the school magazine","http://www.sanskritischool.edu.in/news/general/News/Notice for Samvit.jpg"
"INSTRUCTIONS FOR CLASS XII STUDENTS APPLYING FOR FOREIGN/INDIAN PRIVATE UNIVERSITIES (2022-23)","http://www.sanskritischool.edu.in/news/general/News/INSTRUCTIONS FOR CLASS XII STUDENTS APPLYING FOR FOREIGN UNIVERSITIES_INDIAN PRIVATE UNIVERSITIES (2022-23).pdf"
"Middle School: Holiday Homework 2022-2023","http://www.sanskritischool.edu.in/curriculum/middle-school"
"Senior School: Holiday Homework 2022-2023","http://www.sanskritischool.edu.in/curriculum/senior-school"
"Summer Break Circular","http://www.sanskritischool.edu.in/news/general/News/Summer Break Circular.pdf"
"SRIJAN : e-Magazine 2021-2022","http://www.sanskritischool.edu.in/about/SRIJAN"
"Due to the ongoing heat wave conditions prevailing in Delhi, the School has decided to make some changes in the schedule starting tomorrow, 18th of May, 2022","http://www.sanskritischool.edu.in/news/general/News/circular 17 May 2022.pdf"
"ICPE: All India School Contest in 2022","http://www.sanskritischool.edu.in/news/general/News/56d13a_625478b66296493b8a4296f64a5ad40b.pdf"
"Junior School Maths Day - 6th May 2022","http://www.sanskritischool.edu.in/news/general/News/Junior School Maths Day (1).pdf"
"Presentation: Orientation class XII","http://www.sanskritischool.edu.in/news/general/News/Orientation Class 12 (2022-23).pdf"
"Presentation: Orientation class IX & X","http://www.sanskritischool.edu.in/news/general/News/_Grade IX and X  Orientation - April 30, 2022 .pdf"
"Presentation: Orientation class VII & VIII","http://www.sanskritischool.edu.in/news/general/News/COPY FOR WEBSITE- Middle school orientation VII & VIII(2022-23).pdf"
"Presentation: Orientation class VI","http://www.sanskritischool.edu.in/news/general/News/Grade 6 Orientation (2022-23).pdf"
"International Dance Day, April, 29th 2022","http://www.sanskritischool.edu.in/news/general/News/Dancers don.pdf"
"Language Day Report","http://www.sanskritischool.edu.in/news/general/News/FOREIGN LANGUAGE DAY Report 21April 2022.pdf"
"College Placement Data 2021","http://www.sanskritischool.edu.in/news/general/News/College Placements (2021) - Sheet1.pdf"
"College Placement Data 2020","http://www.sanskritischool.edu.in/news/general/News/College Admissions of Students of Batch 2019-20 - Sheet1 (1).pdf"
